UNITID,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,MAIN,CONTROL,LOCALE,CIP11ASSOC,CIP11BACHL,CIP52ASSOC,CIP52BACHL,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,UG25ABV,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,Additional_Expenses,Program_Offered,ENT_2YR_RANK,Total_Crime_Rank,Violent_Rank,Violent_Crime_Percentile,Total_Crime_Percentile,Branch,Address,Sector,Lat,Long,Url
114266,Evergreen Valley College,San Jose,CA,95135-1598,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,11,2,0,2,0,14405,1326,7010,,0.7375,,0.467,0.3615,27200,32700,34500,36300,40000,26600,28100,38500,42000,7395,4,2,139,111,0.296,0.370666667,Evergreen Valley Community College,3095 YERBA BUENA RD,"Public, 2-year",37.3017,-121.7667,www.evc.edu
114354,Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,90015-1421,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges | Western Association of Schools and Colleges Senior College and University Commission,1,3,11,0,0,2,2,42958,28920,28920,0.9346,,1,,0.1425,33200,35600,36400,38200,41800,33100,34200,41700,43000,14038,4,4,155,290,0.773333333,0.413333333,Main Campus,919 S GRAND AVE,"Private for-profit, 4-year or above",34.0442,-118.2599,www.fidm.edu
191126,Fashion Institute of Technology,New York,NY,10001-5992,Middle States Commission on Higher Education,1,1,11,0,0,1,1,16428,5105,13955,0.8843,,0.6957,,0.2825,39300,43100,45300,46500,50500,39800,36300,50700,49600,2473,2,7,70,105,0.28,0.186666667,FASHION INSTITUTE OF TECHNOLOGY,7th Avenue  at  27th Street,"Public, 4-year or above",40.7473,-73.9948,www.fitnyc.edu
188465,Globe Institute of Technology,New York,NY,10018,New York State Board of Regents and the Commissioner of Education,1,3,11,1,1,1,1,25718,11120,11120,0.6,,,,0.2711,23600,24400,22800,37100,37500,22500,25600,34000,41100,14598,4,7,70,105,0.28,0.186666667,Main Campus,500 7th Avenue 2nd floor,"Private for-profit, 4-year or above",40.7149,-74.006,www.globe.edu/index.asp
457226,Horizon University,San Diego,CA,92111-2622,Association for Biblical Higher Education Commission on Accreditation,1,2,11,0,0,2,2,0,9250,9250,,,,,0.9828,,,,,,,,,,0,4,10,88,189,0.504,0.234666667,Main Campus,5331 Mt. Alifan Drive,"Private nonprofit, 4-year or above",32.8167,-117.1822,www.horizonuniversity.edu
225399,Houston Baptist University,Houston,TX,77074-3298,Southern Association of Colleges and Schools Commission on Colleges,1,2,11,0,0,0,1,36095,27930,27930,0.6284,,0.75,,0.1041,39600,41200,43600,45500,46400,38800,41200,43200,54100,8165,1,8,5,331,0.882666667,1.33E-02,Main Campus,7502 Fondren Rd.,"Private nonprofit, 4-year or above",29.6944,-95.516,www.hbu.edu
225423,Houston Community College,Houston,TX,77002,Southern Association of Colleges and Schools Commission on Colleges,1,1,11,2,0,2,0,13488,1630,3754,,0.611,,0.4483,0.4751,29500,32000,34000,35600,37500,27600,32900,33200,44900,9734,4,8,5,331,0.882666667,1.33E-02,Central College - Midtown Campus,1300 Holman,"Public, 2-year",29.7373,-95.3765,www.hccs.edu
192271,LIM College,New York,NY,10022-5268,Middle States Commission on Higher Education,1,3,11,0,0,1,1,41111,23645,23645,0.7336,,0,,0.0436,37500,40700,44100,45600,49400,,,,,17466,2,7,70,105,0.28,0.186666667,Main Campus,12 E 53RD ST,"Private for-profit, 4-year or above",40.7598,-73.9749,www.limcollege.edu
117788,Los Angeles City College,Los Angeles,CA,90029,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,11,1,0,1,0,11090,1221,6161,,0.6136,,0.3773,0.4852,25300,28000,27900,30700,31900,24700,26200,31500,32500,4929,2,4,155,290,0.773333333,0.413333333,Los Angeles City College,855 North Vermont Ave.,"Public, 2-year",34.0873,-118.2922,www.lacitycollege.edu/
368780,Los Angeles ORT College-Los Angeles Campus,Los Angeles,CA,90048,Accrediting Council for Continuing Education and Training,1,2,11,1,0,1,0,0,0,0,,0.6386,,,0.7348,22200,24100,24600,28700,27200,20000,26400,26000,29100,0,2,4,155,290,0.773333333,0.413333333,Main Campus,6435 WILSHIRE BLVD,"Private nonprofit, 2-year",34.0639,-118.3694,www.laort.edu
